Name,Number,Address,Dissolved On,Company Type,Incorporated On,Nature of Business
P.A INTEGRATED CONCEPTS LTD,08373443,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,24 January 2013,99999 - Dormant Company
"YIWU QINGZHI TRADE CO., LTD.",08922182,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,4 March 2014,99999 - Dormant Company
SOAROUND INTERNATIONAL LIMITED,07556067,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,8 March 2011,99999 - Dormant Company
EBS-K LIMITED,08926485,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 March 2014,99999 - Dormant Company
"PUBLISE GROUP CO., LTD.",08927505,"Flat 32 Adventures Court, 12 Newport Avenue, London, United Kingdom, E14 2DN",Active,Private limited Company,7 March 2014,99999 - Dormant Company
"HKN RESOURCE CO., LTD",08902181,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,19 February 2014,99999 - Dormant Company
"LUOYANG SUNRUI WANJI TITANIUM INDUSTRY CO., LTD",08773035,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 November 2013,99999 - Dormant Company
HARBOR SEAFOOD LIMITED,08904370,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,20 February 2014,99999 - Dormant Company
J.K. MARITIME (UK) LTD,07150250,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,9 February 2010,99999 - Dormant Company
UK OUSMATER FOOD LIMITED,08900408,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 February 2014,99999 - Dormant Company
"UII INTERNATIONAL INDUSTRY CO., LTD",08439947,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 March 2013,99999 - Dormant Company
OMAX TOOLING COMPANY LTD,08834692,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,7 January 2014,99999 - Dormant Company
EVERGREEN ELECTRIC INDUSTRIAL LTD,08832742,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 January 2014,99999 - Dormant Company
"HB BAITER ENTERPRISE CO., LIMITED",08856479,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 January 2014,99999 - Dormant Company
"SUNSHINE CO., LTD",08904381,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,20 February 2014,99999 - Dormant Company
OLYMPLUS ELECTRONIC LIMITED,08917268,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,28 February 2014,99999 - Dormant Company
"ART SOURCE INDUSTRY CO., LIMITED",08908825,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 February 2014,99999 - Dormant Company
"RING LAND KDO WOOD GROUP CO., LTD",08917197,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,9 August 2016,Private limited Company,28 February 2014,99999 - Dormant Company
"JINDUN INTERNATIONAL CO., LIMITED",08921308,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,23 August 2016,Private limited Company,4 March 2014,99999 - Dormant Company
"SHANDONG DAJICHUAN FOODS CO., LTD",08891790,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 February 2014,99999 - Dormant Company
TRAILBLAZER ENERGY CORPORATION LTD,08910738,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 February 2014,99999 - Dormant Company
IVY GREEN LIMITED,07598346,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,18 November 2014,Private limited Company,11 April 2011,99999 - Dormant Company
"MS SUNNY CO., LTD",08502482,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,24 April 2013,99999 - Dormant Company
CARPLUS TECHNOLOGY LTD,08848348,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,16 January 2014,99999 - Dormant Company
JOCK INDUSTRY LIMITED,08928766,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,23 August 2016,Private limited Company,7 March 2014,99999 - Dormant Company
"MAGIC FAIRY INTERNATIONAL CO., LTD",08927101,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,26 July 2016,Private limited Company,6 March 2014,99999 - Dormant Company
PROPERTY INDUSTRIAL LIMITED,08900410,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,27 October 2015,Private limited Company,18 February 2014,99999 - Dormant Company
"LEADER TECHNOLOGY DEVELOPMENT CO., LTD",08906676,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 February 2014,99999 - Dormant Company
SURERISE INTERNATIONAL LTD.,07962201,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,23 February 2012,99999 - Dormant Company
VINEA COSMETICS (UK) LTD,07571353,"Chase Business Centre- Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,29 September 2015,Private limited Company,21 March 2011,99999 - Dormant Company
"DIYAO TECHNOLOGY CO., LIMITED",08928921,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,7 March 2014,99999 - Dormant Company
"QIME TRADE CO., LTD",08942781,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,17 March 2014,99999 - Dormant Company
SG LEAFT COMPANY LTD,08940035,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,14 March 2014,99999 - Dormant Company
ALAN CHEMICAL INDUSTRIES LTD,08945248,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 March 2014,99999 - Dormant Company
CHINA WH NAIL COMPANY LIMITED,08949838,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,20 March 2014,99999 - Dormant Company
"CHANGZHOU URUSCN ELECTRICALS CO., LTD",08950516,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,20 March 2014,99999 - Dormant Company
SPN GREEN LIFE LTD,08867304,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,29 January 2014,99999 - Dormant Company
SAM-MOLY MINING INVESTMENT CORP. LTD,08933423,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,30 August 2016,Private limited Company,11 March 2014,99999 - Dormant Company
HONGKONG SINSTAR CONTAINER SERVICE LIMITED,07937439,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,6 February 2012,99999 - Dormant Company
"UK LANBO TRADING CO., LIMITED",08919592,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,27 October 2015,Private limited Company,3 March 2014,99999 - Dormant Company
ERIZ INTERNATIONAL CONSULTING LTD,08958639,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,23 August 2016,Private limited Company,25 March 2014,99999 - Dormant Company
"XINWANGXING ELECTRONIC TECHNOLOGY CO., LTD",08968760,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,31 March 2014,99999 - Dormant Company
TOP CATCH TRADE LTD,08968489,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,31 March 2014,99999 - Dormant Company
WELLS GRAND INTERNATIONAL GROUP LIMITED,08939394,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 March 2014,99999 - Dormant Company
FORCARE LIMITED,05423069,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,13 April 2005,99999 - Dormant Company
"KOY INTERNATIONAL CULTURE COMMUNICATION CO., LIMITED",08974525,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,2 April 2014,99999 - Dormant Company
"ZHEJIANG BESTON MACHINARY CO., LTD.",08900617,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 February 2014,99999 - Dormant Company
"WEIDOO TRADING (UK) CO., LTD",08466199,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,28 March 2013,99999 - Dormant Company
"SHENZHEN TESLA INTERNATIONAL TRADING CO., LTD",08954517,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 March 2014,99999 - Dormant Company
HAWKIWEL INDUSTRIES LIMITED,06166820,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,19 March 2007,99999 - Dormant Company
"YIWU SKYWAY IMP & EXP CO., LTD",08953572,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 March 2014,99999 - Dormant Company
TENSURE TRADING COMPANY LTD,08979569,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,4 April 2014,99999 - Dormant Company
"GODLEN BUSINESS CO., LTD",08985590,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,8 April 2014,99999 - Dormant Company
ADA EZE MOTORCYCLE PARTS TRADING COMPANY LIMITED,08991087,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,5 July 2016,Private limited Company,10 April 2014,99999 - Dormant Company
"UK CONSTANT INTERNATIONAL STOCK CO., LIMITED",08993974,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 April 2014,99999 - Dormant Company
"SHANDONG DAFU WOOD CO., LTD",08958223,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 March 2014,99999 - Dormant Company
"YUANXIANG INTERNATIONAL CO., LTD.",07966336,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,5 July 2016,Private limited Company,27 February 2012,99999 - Dormant Company
"ICEFOG INDUSTRIAL AND TRADING CO., LTD.",08466304,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,28 March 2013,99999 - Dormant Company
"BEAUTY PACKAGING (SHANGHAI) CO., LTD",08915104,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,27 February 2014,99999 - Dormant Company
"TOPLIGHT TECHNOLOGY CO., LTD.",07956202,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,9 August 2016,Private limited Company,20 February 2012,99999 - Dormant Company
"BIOMEDICAL TECHNOLOGY CO., LTD.",09005762,"Chase Business Centre 39/41chase Side, Southgate, London, N14 5BP",Active,Private limited Company,22 April 2014,99999 - Dormant Company
EURPLAST LTD,09005376,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,4 October 2016,Private limited Company,22 April 2014,99999 - Dormant Company
QINGDAO R&T INTERNATIONAL LIMITED,08964641,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,28 March 2014,99999 - Dormant Company
LINK CHANCE LTD.,08935633,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 March 2014,99999 - Dormant Company
CYPRESS TRADER LIMITED,09006381,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,23 April 2014,99999 - Dormant Company
"VICTEX ENTERPRISE CO., LTD",08924055,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,5 March 2014,99999 - Dormant Company
"FOSHAN FASHION UNITE CERAMIC CO., LTD.",08936015,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 March 2014,99999 - Dormant Company
"KENMON INTERNATIONAL CO., LIMITED",08047939,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,26 April 2012,99999 - Dormant Company
CJ E-TECHNOLOGY LTD,08937974,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 March 2014,99999 - Dormant Company
"FRANCE BEBE FENNE BABY & CHILDREN'S PRODUCT INTERNATIONAL CO., LTD",06577057,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,5 July 2016,Private limited Company,25 April 2008,99999 - Dormant Company
"FURUI MACHINERY CO., LTD",09010151,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 April 2014,99999 - Dormant Company
UNITED WELL DEVELOPMENT LIMITED,08974278,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,2 April 2014,99999 - Dormant Company
"GERMANY KEMAISI CO., LTD",08928634,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,7 March 2014,99999 - Dormant Company
JUN PENG INTERNATIONAL LTD,08946165,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,19 March 2014,99999 - Dormant Company
"STVILLA FURNITURE GROUP CO., LIMITED",07432382,"53 Whateleys Drive, Kenilworth, United Kingdom, CV8 2GY",Active,Private limited Company,8 November 2010,99999 - Dormant Company
"ALLCHEM CO., LTD",08926376,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 March 2014,99999 - Dormant Company
UK SOCIETE GENERALE DE SURVEILLANCE LTD,09026191,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 May 2014,99999 - Dormant Company
"YI CAI TOYS INDUSTRIAL CO., LTD",08948613,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,19 March 2014,99999 - Dormant Company
EXELON BIOCHEM & ADVANCED MATERIAL (CHINA) LTD,08989180,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,9 April 2014,99999 - Dormant Company
ALTICORE LTD,08455902,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 March 2013,99999 - Dormant Company
SINOVO INDUSTRIAL & TRADING CO. LTD,07179676,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,5 March 2010,99999 - Dormant Company
"HUIFENG INTERNATIONAL CO., LIMITED",09027269,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,7 May 2014,99999 - Dormant Company
EMEI (UK) INTERNATIONAL LIMITED,06480294,"Chase Businees Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 January 2008,99999 - Dormant Company
"B-TECH CO., LTD",08991070,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,10 April 2014,99999 - Dormant Company
ESPEED GLOBAL LTD,08995931,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 April 2014,99999 - Dormant Company
"SHANDONG WANYU BUILDING MATERIALS CO., LTD",08960650,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,26 March 2014,99999 - Dormant Company
UK LONDON ICE CREAM LIMITED,09002178,"61 Praed Street, Dept 400, London, England, W2 1NS",Active,Private limited Company,17 April 2014,99999 - Dormant Company
U.K. GURNEY RAYDEE B&S (INT'L) GROUP LTD,07264566,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 May 2010,99999 - Dormant Company
UK SCIENCEMAN ART LIMITED,08960641,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,30 August 2016,Private limited Company,26 March 2014,99999 - Dormant Company
DEXE GROUP LTD,08959771,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,20 September 2016,Private limited Company,26 March 2014,99999 - Dormant Company
"FOUR SEASONS CO., LTD",08971324,"Chase Business Centre, 39/41 Chase Side, London, N14 5BP",Active,Private limited Company,1 April 2014,99999 - Dormant Company
TOBUR INVESTMENT DEVELOPMENT (UK) LIMITED,08973817,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,2 April 2014,99999 - Dormant Company
"UK AI FU YI INTERNATIONAL GROUP CO., LIMITED",08935651,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 March 2014,99999 - Dormant Company
"YANG HANG INDUSTRIAL CO., LTD.",08937918,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 March 2014,99999 - Dormant Company
"SHENZHEN GUANGYULONG TRADE CO., LTD",09005453,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 April 2014,99999 - Dormant Company
ENLONC INTERNATIONAL LIMITED,07982324,"Chase Business Centre, 39/41 Chase Side, London, N14 5BP",Active,Private limited Company,8 March 2012,99999 - Dormant Company
MIDI INTERNATIONAL (UK) ARCHITECTURE DESIGN COMPANY LIMITED,09041510,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,15 May 2014,99999 - Dormant Company
"S&Y HOME TEXTILE CO., LTD",09044191,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,16 May 2014,99999 - Dormant Company
NEWNEWUP LIMITED,09037689,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 May 2014,99999 - Dormant Company
"E-NEW AGE BUILDING TECHNOLOGY CO., LTD.",09045720,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,1 November 2016,Private limited Company,19 May 2014,99999 - Dormant Company
TORRENT LTD,08938050,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 March 2014,99999 - Dormant Company
FIRSTROCK LTD,09046457,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,19 May 2014,99999 - Dormant Company
UK BLESS PET ANIMAL PROTECTION LIMITED,08965819,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,28 March 2014,99999 - Dormant Company
WONDERFUL TEXTILE COMPANY LIMITED,08965407,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,28 March 2014,99999 - Dormant Company
ROSEEY TRADE LIMITED,08958003,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 March 2014,99999 - Dormant Company
"DONGXIN E&M INDUSTRIAL CO., LTD.",09009838,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 April 2014,99999 - Dormant Company
"DAFU CRAFTS CO., LTD",08973494,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,2 April 2014,99999 - Dormant Company
"ALWAYS TOP TRADING CO., LTD",09012080,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 April 2014,99999 - Dormant Company
"UK BINLI FLUID CONTROL CO., LTD",09012698,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,25 April 2014,99999 - Dormant Company
KOREA EMMA TECHNOLOGY HOLDING LIMITED,09019136,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,8 December 2015,Private limited Company,30 April 2014,99999 - Dormant Company
"UNION INTERNATIONAL INDUSTRY CO., LIMITED",05784895,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,19 April 2006,99999 - Dormant Company
"QILIN FURNITURE CO., LTD",09046776,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,19 May 2014,99999 - Dormant Company
ZEUS GROUP TRADING LIMITED,08985769,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,8 April 2014,99999 - Dormant Company
YIDONE INDUSTRY LIMITED,07591995,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,5 April 2011,99999 - Dormant Company
"JIEKESAIER INDUSTRIAL CO., LTD",09026131,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,6 May 2014,99999 - Dormant Company
"NINGBO BRIDGE IMPORT & EXPORT CO., LTD",09015437,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,29 April 2014,99999 - Dormant Company
"NICE POWER TECHNOLOGY CO., LIMITED",08489936,"41 Chalton Street, London, England, NW1 1JD",Active,Private limited Company,16 April 2013,99999 - Dormant Company
POWERCHEM LIMITED,08985541,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,20 September 2016,Private limited Company,8 April 2014,99999 - Dormant Company
HAN TRADE (UK) COMPANY LTD,07598697,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,11 April 2011,99999 - Dormant Company
"SINBANG INDUSTRY (LONDON) CO., LIMITED",08993469,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,11 April 2014,99999 - Dormant Company
ESSENCE INT'L COMPANY LIMITED,08948107,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,19 March 2014,99999 - Dormant Company
"HY TECHNOLOGIES CO., LTD",08974459,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,2 April 2014,99999 - Dormant Company
"PROUD CERAMIC CO., LTD",08993173,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,11 April 2014,99999 - Dormant Company
"YIXING ZHONG RUN CERAMICS TECHNOLOGY CO., LTD",08995777,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,14 April 2014,99999 - Dormant Company
UK TEDDY BEAR LIMITED,09026286,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 May 2014,99999 - Dormant Company
"HALLELUJAH CHRISTMAS GIFTS CO., LTD.",07961910,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,23 February 2012,99999 - Dormant Company
"JINGDEZHEN YOUNGS CERAMIC CO., LTD",08545731,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,28 May 2013,99999 - Dormant Company
RAYMAN INTERNATIONAL TRADING LIMITED,06896647,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 May 2009,99999 - Dormant Company
SWIFT MANUFACTURING LTD,08998227,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,15 April 2014,99999 - Dormant Company
"KAMA ELECTRONICS TECHNOLOGY CO., LTD",08995816,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 April 2014,99999 - Dormant Company
CIMA TECHNOLOGY LTD,07634719,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,16 May 2011,99999 - Dormant Company
"SINOENG INTERNATIONAL CO., LTD",08976429,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,3 April 2014,99999 - Dormant Company
"WIN SAFE MARINE MACHINERY CO., LTD",08991121,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,10 April 2014,99999 - Dormant Company
MERRY STATIONERY GROUP LTD,09035127,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 May 2014,99999 - Dormant Company
"RIVER CHEMICAL INDUSTRIAL CO., LTD",09026130,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 May 2014,99999 - Dormant Company
"DELLER INDUSTRY CO., LTD.",09005488,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 April 2014,99999 - Dormant Company
"UK FAST FLUID CONTROL CO., LTD",09012404,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,25 April 2014,99999 - Dormant Company
"SHENZHEN MR PHOTOELECTRICITY CO., LTD",08999012,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,15 April 2014,99999 - Dormant Company
"SHIJIAZHUANG KINGSTONE TRADING CO., LTD",09004936,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,27 September 2016,Private limited Company,22 April 2014,99999 - Dormant Company
AFG AUTOPARTS INDUSTRIAL LTD,09005381,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,22 April 2014,99999 - Dormant Company
SZ COMPUOCEAN LIMITED,09026899,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,7 May 2014,99999 - Dormant Company
"FU FENG INDUSTRIAL CO., LTD.",08955496,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 March 2014,99999 - Dormant Company
UK INTERNATIONAL MINERALS & RESOURCES COMPANY LIMITED,07125219,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,28 June 2016,Private limited Company,14 January 2010,99999 - Dormant Company
"AZARILA INTERNATIONAL CO., LTD",09052327,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 May 2014,99999 - Dormant Company
SUN TIME INVESTMENT LIMITED,09014888,"35 Ivor Place, Downstairs Office, London, United Kingdom, NW1 6EA",Active,Private limited Company,28 April 2014,99999 - Dormant Company
I TRAVEL GLOBAL LTD,09017179,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,29 April 2014,99999 - Dormant Company
"SUPERWAY TECHNOLOGY CO., LTD",09007794,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Active,Private limited Company,23 April 2014,99999 - Dormant Company
"SHANGHAI SHINUO ELECTRIC CO., LTD",09010245,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,24 April 2014,99999 - Dormant Company
ASIAN BUSINESS PROMOTION ASSOCIATE LTD,08956579,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,25 March 2014,99999 - Dormant Company
HAIZHU INTERNATIONAL LTD,09036396,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 May 2014,99999 - Dormant Company
JH GLASS CORPORATION LTD.,09030797,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,8 May 2014,99999 - Dormant Company
"UK JAMESON'S CO., LIMITED",07648822,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,26 May 2011,99999 - Dormant Company
"WELL POST INTERNATIONAL TRADING CO., LTD",09024666,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,6 May 2014,99999 - Dormant Company
"FOCUS ECIG TECHNOLOGY CO., LTD",09026207,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,6 May 2014,99999 - Dormant Company
"KENNETH TWINKLING CO., LIMITED",09037930,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,13 May 2014,99999 - Dormant Company
SPARK INDUSTRIES CORPORATION LTD.,09030545,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,8 May 2014,99999 - Dormant Company
"PAN ASIA RESOURCES CO., LTD",09019392,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,30 April 2014,99999 - Dormant Company
"LANXI PARTY CRAFTS CO., LTD",08514151,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,2 May 2013,99999 - Dormant Company
